Date,Price
2/16/2022,72.0302
2/17/2022,75.4344
2/18/2022,72.9403
2/19/2022,72.0751
2/20/2022,78.7691
2/21/2022,82.055
2/22/2022,80.5631
2/23/2022,79.2259
2/24/2022,85.0618
2/25/2022,75.8244
2/26/2022,75.3545
2/27/2022,83.9199
2/28/2022,80.352
3/1/2022,80.0293
3/2/2022,77.6606
3/3/2022,77.9048
3/6/2022,80.2957
3/7/2022,83.2068
3/8/2022,83.6887
3/9/2022,83.8191
3/10/2022,83.2416
3/11/2022,82.2633
3/12/2022,83.4324
3/13/2022,84.5336
3/14/2022,84.9316
3/15/2022,86.5849
3/16/2022,83.8081
3/17/2022,78.6925
3/18/2022,74.1809
3/19/2022,74.0705
3/20/2022,75.7235
3/21/2022,75.0932
3/22/2022,74.3996
3/23/2022,72.7684
3/24/2022,70.1916
3/25/2022,66.0956
3/26/2022,67.9795
3/27/2022,70.3508
3/28/2022,67.0666
3/29/2022,66.1419
3/30/2022,65.7881
3/31/2022,67.49
4/1/2022,64.1978
4/2/2022,63.6119
4/3/2022,63.6506
4/4/2022,64.8156
4/5/2022,66.1758
4/6/2022,69.4915
4/7/2022,66.9865
4/8/2022,66.0177
4/9/2022,64.191
4/10/2022,64.4398
4/11/2022,69.8499
4/12/2022,67.8512
4/13/2022,66.4795
4/14/2022,64.5535
4/15/2022,62.9491
4/16/2022,62.7871
4/17/2022,64.8551
4/18/2022,65.7238
4/19/2022,64.1775
4/20/2022,64.1883
4/21/2022,65.0501
4/22/2022,63.6291
4/23/2022,63.0191
4/24/2022,64.4238
4/25/2022,68.8976
4/26/2022,69.3572
4/27/2022,68.4299
4/28/2022,66.0885
4/29/2022,63.649
4/30/2022,64.0758
5/1/2022,64.9382
5/2/2022,65.477
5/3/2022,67.7381
5/4/2022,65.2984
5/5/2022,66.8081
5/6/2022,65.1145
5/7/2022,67.4724
5/8/2022,70.4306
5/9/2022,83.0436
5/10/2022,82.1866
5/11/2022,90.7095
5/12/2022,124.9045
5/13/2022,102.0421
5/14/2022,98.4352
5/15/2022,96.6085
5/16/2022,99.0409
5/17/2022,93.2841
5/18/2022,99.1826
5/19/2022,94.5337
5/20/2022,93.2345
5/21/2022,88.0566
5/22/2022,86.8117
5/23/2022,86.3979
5/24/2022,86.1739
5/25/2022,86.2371
5/26/2022,85.6575
5/27/2022,88.0332
5/28/2022,85.7626
5/29/2022,85.9755
5/30/2022,80.5318
5/31/2022,78.4282
6/1/2022,80.9747
6/2/2022,78.6177
6/3/2022,77.1565
6/4/2022,76.5519
6/5/2022,76.836
6/6/2022,73.3788
6/7/2022,76.2855
6/8/2022,77.2158
6/9/2022,76.8649
6/10/2022,79.8375
6/11/2022,82.4088
6/12/2022,89.053
6/13/2022,111.777
6/14/2022,110.2434
6/15/2022,107.5388
6/16/2022,119.4114
6/17/2022,112.3579
